Trans. Date,Description,Amount,Category
02/09/2025,"256 BRAUMS STORE DALLAS TX
APPLE PAY ENDING IN 7585",9.38,Restaurants
02/08/2025,DELUCCA GAUCHO PIZZA PLANO TX,79.45,Restaurants
02/06/2025,WALMART WMTPAY 02105 DALLAS TX,16.96,Merchandise
02/02/2025,PY *SWADESHI PLAZA INC IRVING TX,16.86,Restaurants
01/23/2025,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P18NUZJU",3.19,Merchandise
01/14/2025,256 BRAUMS STORE DALLAS TX,9.38,Restaurants
01/13/2025,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
01/11/2025,"TST*BEST THAI SIGNATUR ADDISON TX
00029500022385221382AA",14.07,Restaurants
12/23/2024,"GOOGLE *GOOGLE ONE G.CO/HELPPAY#CA
P17BCGQO",3.19,Merchandise
12/15/2024,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
11/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P16PL625",3.19,Merchandise
11/13/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-4.00,Awards and Rebate Credits
11/13/2024,INTERNET PAYMENT - THANK YOU,-38.45,Payments and Credits
11/01/2024,"UBERBV UBER TRIP HELP.UB HELP.UBER.COMNL
666.58 @ 00000000.0118365 INR",7.89,Travel/ Entertainment
10/26/2024,TARGET 00018507091 ADDISON TX,23.80,Supermarkets
10/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P160ZXL2",3.19,Merchandise
10/15/2024,"AMAZON MKTPL*YH98M26Q3 AMZN.COM/BILLWA
4MF17BGTYND",7.57,Merchandise
10/14/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-15.00,Awards and Rebate Credits
10/14/2024,INTERNET PAYMENT - THANK YOU,-181.19,Payments and Credits
10/10/2024,"AMAZON MKTPL*3E4NO8KA3 AMZN.COM/BILLWA
2JV7J360RNA",117.73,Merchandise
10/10/2024,"AMZN MKTP US*0Q76F0XS3 AMZN.COM/BILLWA
5OVT5ECNPC8",25.98,Merchandise
10/08/2024,TARGET 00017756091 DALLAS TX,6.48,Supermarkets
09/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P15EJQZ5",3.19,Merchandise
09/21/2024,WALMART PAY 02649 IRVING TX,24.81,Merchandise
09/15/2024,WALMART PAY 01216 CARROLLTON TX,18.00,Merchandise
08/29/2024,INTERNET PAYMENT - THANK YOU,-73.81,Payments and Credits
08/24/2024,WALMART WMTPAY 02105 DALLAS TX,70.62,Merchandise
08/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P14RUHKZ",3.19,Merchandise
08/22/2024,INTERNET PAYMENT - THANK YOU,-61.48,Payments and Credits
08/16/2024,PATEL BROTHERS VALLEY RA IRVING TX,61.48,Supermarkets
08/16/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-12.00,Awards and Rebate Credits
08/16/2024,INTERNET PAYMENT - THANK YOU,-109.19,Payments and Credits
08/10/2024,WALMART WMTPAY 03406 DALLAS TX,121.19,Merchandise
08/08/2024,INTERNET PAYMENT - THANK YOU,-65.80,Payments and Credits
08/03/2024,"PATEL BROTHERS PLANO PLANO TX
APPLE PAY ENDING IN 7585",40.16,Supermarkets
08/03/2024,WALMART WMTPAY 02926 PLANO TX,25.64,Merchandise
07/31/2024,INTERNET PAYMENT - THANK YOU,-44.91,Payments and Credits
07/28/2024,WALMART WMTPAY 02105 DALLAS TX,41.72,Merchandise
07/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P13BDAPL",3.19,Merchandise
07/22/2024,INTERNET PAYMENT - THANK YOU,-28.55,Payments and Credits
07/20/2024,WALMART WMTPAY 03406 DALLAS TX,28.55,Merchandise
07/18/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.00,Awards and Rebate Credits
07/18/2024,INTERNET PAYMENT - THANK YOU,-107.11,Payments and Credits
07/09/2024,PATEL BROTHERS IRVING TX,84.44,Supermarkets
07/09/2024,WALMART STORE 02649 IRVING TX,32.67,Merchandise
07/09/2024,INTERNET PAYMENT - THANK YOU,-33.63,Payments and Credits
06/29/2024,"CHEVRON 0301508 KINGS BEACH CA
00301508 0858358 I N",33.63,Gasoline
06/27/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-2.00,Awards and Rebate Credits
06/27/2024,INTERNET PAYMENT - THANK YOU,-54.29,Payments and Credits
06/23/2024,"LOVE'S #0342 OUTSIDE THREE RIVERS TX
0003421007020549241750",32.29,Gasoline
06/23/2024,"GOOGLE *GOOGLE ONE 855-836-3987 CA
P12OHWVR",3.19,Merchandise
06/16/2024,EXXONMOBIL FARMERS BRANCTX,20.81,Gasoline
06/06/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.00,Awards and Rebate Credits
06/06/2024,INTERNET PAYMENT - THANK YOU,-22.06,Payments and Credits
05/30/2024,EXXONMOBIL FARMERS BRANCTX,25.06,Gasoline
05/29/2024,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
05/23/2024,"GOOGLE *GOOGLE STORAGE 855-836-3987 CA
P1202JOP",3.19,Merchandise
05/13/2024,INTERNET PAYMENT - THANK YOU,-20.54,Payments and Credits
05/08/2024,"QT 1907 OUTSIDE DALLAS TX
0190701ACHYSHAS",20.54,Gasoline
05/01/2024,INTERNET PAYMENT - THANK YOU,-35.57,Payments and Credits
04/28/2024,MURPHY EXPRESS 8970 DALLAS TX,27.13,Gasoline
04/27/2024,91272 - DALLAS ON STREET DALLAS TX,3.00,Services
04/27/2024,91272 - DALLAS ON STREET DALLAS TX,2.25,Services
04/23/2024,"GOOGLE *GOOGLE STORAGE G.CO/HELPPAY#CA
P11BRSED",3.19,Services
04/15/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-8.00,Awards and Rebate Credits
04/15/2024,INTERNET PAYMENT - THANK YOU,-17.10,Payments and Credits
04/12/2024,MURPHY EXPRESS 8970 DALLAS TX,25.10,Gasoline
04/03/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.19,Awards and Rebate Credits
03/23/2024,GOOGLE *GOOGLE STORAGE 855-836-3987 CA,3.19,Merchandise
03/11/2024,INTERNET PAYMENT - THANK YOU,-42.81,Payments and Credits
03/09/2024,"BOMBAY CHOWPATTY IRVING TX
P0ZMWXN4",36.81,Restaurants
03/08/2024,058 BRAUMS STORE CARROLLTON TX,6.00,Restaurants
02/25/2024,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
02/23/2024,GOOGLE *GOOGLE STORAGE 855-836-3987 CA,3.19,Merchandise
02/22/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-10.00,Awards and Rebate Credits
02/22/2024,INTERNET PAYMENT - THANK YOU,-119.67,Payments and Credits
02/17/2024,TST* THIRSTY LION GASTRO DALLAS TX,129.67,Restaurants
02/14/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-8.09,Awards and Rebate Credits
02/13/2024,"INTERNET PAYMENT - THANK YOU
P10G7HSU",-100.15,Payments and Credits
02/10/2024,PY *SWADESHI PLAZA INC IRVING TX,8.09,Supermarkets
02/09/2024,256 BRAUMS STORE DALLAS TX,6.00,Restaurants
02/06/2024,PANDA EXPRESS #2189 FARMERS BRANCTX,14.40,Restaurants
02/04/2024,REAL THAI RESTAURANT WHEAT RIDGE CO,35.53,Restaurants
02/03/2024,DENNY'S #8149 GOLDEN CO,34.39,Restaurants
02/02/2024,CHIPOTLE 0006 WHEAT RIDGE CO,9.83,Restaurants
01/25/2024,INTERNET PAYMENT - THANK YOU,-263.60,Payments and Credits
01/23/2024,GOOGLE *GOOGLE STORAGE 855-836-3987 CA,3.19,Merchandise
01/21/2024,"256 BRAUMS STORE DALLAS TX
00066020015656279837AA",6.00,Restaurants
01/20/2024,"TST* BABOUSH DALLAS TX
0002305843019152295391",241.42,Restaurants
01/19/2024,SQ *MASALA WOK INDIAN RICHARDSON TX,12.99,Restaurants
01/16/2024,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-4.00,Awards and Rebate Credits
01/16/2024,"INTERNET PAYMENT - THANK YOU
APPLE PAY ENDING IN 7585",-58.15,Payments and Credits
01/13/2024,"SQ *BIRYANIS AND MORE IRVING TX
P0YSQVLG",14.06,Restaurants
01/13/2024,CHIPOTLE 2816 DALLAS TX,10.01,Restaurants
01/13/2024,"256 BRAUMS STORE DALLAS TX
0002305843019127105826",9.94,Restaurants
01/06/2024,TST* BEST THAI SIGNATU ADDISON TX,28.14,Restaurants
01/01/2024,INTERNET PAYMENT - THANK YOU,-3.19,Payments and Credits
12/23/2023,"GOOGLE *GOOGLE STORAGE 855-836-3987 CA
00029500015458677529AA",3.19,Merchandise
11/27/2023,INTERNET PAYMENT - THANK YOU,-29.91,Payments and Credits
11/26/2023,TARGET.COM * 800-591-3869 MN,41.19,Merchandise
11/26/2023,TARGET.COM * 800-591-3869 MN,-41.19,Payments and Credits
11/25/2023,"TARGET 00018507091 ADDISON TX
P0XC3SHN",26.72,Supermarkets
11/23/2023,"GOOGLE *GOOGLE STORAGE 855-836-3987 CA
P0WMJKOM",3.19,Merchandise
11/16/2023,INTERNET PAYMENT - THANK YOU,-6.00,Payments and Credits
11/16/2023,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-14.00,Awards and Rebate Credits
11/10/2023,"NTTA AUTOCHARGE 972-818-6882 TX
217958032",20.00,Travel/ Entertainment
10/26/2023,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,-3.19,Awards and Rebate Credits
10/23/2023,"GOOGLE *GOOGLE STORAGE 855-836-3987 CA
P0VY4FTB",3.19,Merchandise
